"session","created","modified","ended","expired","age","sex","sex_open","partner_any","partner_type","partner_open","occup_any","occup_type","occup_open","sport_any","SWLS_1_Start","SWLS_2_Start","SWLS_3_Start","SWLS_4_Start","SWLS_5_Start","is_own_domain","own_domain","IMP_health_Start","IMP_romantic_Start","IMP_social_Start","IMP_family_Start","IMP_friends_Start","IMP_looks_Start","IMP_sports_Start","IMP_leisuretime_Start","IMP_leisureuse_Start","IMP_occup_Start","IMP_occuptask_Start","IMP_occupperform_Start","IMP_occuprelations_Start","IMP_owndomain_Start","GUESS_health_Start","GUESS_CONF_health_Start","GUESS_romantic_Start","GUESS_CONF_romantic_Start","GUESS_social_Start","GUESS_CONF_social_Start","GUESS_family_Start","GUESS_CONF_family_Start","GUESS_friends_Start","GUESS_CONF_friends_Start","GUESS_looks_Start","GUESS_CONF_looks_Start","GUESS_sports_Start","GUESS_CONF_sports_Start","GUESS_leisuretime_Start","GUESS_CONF_leisuretime_Start","GUESS_leisureuse_Start","GUESS_CONF_leisureuse_Start","GUESS_occup_Start","GUESS_CONF_occup_Start","GUESS_occuptask_Start","GUESS_CONF_occuptask_Start","GUESS_occupperform_Start","GUESS_CONF_occupperform_Start","GUESS_occuprelations_Start","GUESS_CONF_occuprelations_Start","GUESS_owndomain_Start","GUESS_CONF_owndomain_Start","RANK_select_health_Start","RANK_select_romantic_Start","RANK_select_social_Start","RANK_select_family_Start","RANK_select_friends_Start","RANK_select_looks_Start","RANK_select_sports_Start","RANK_select_leisuretime_Start","RANK_select_leisureuse_Start","RANK_select_occup_Start","RANK_select_occuptask_Start","RANK_select_occupperform_Start","RANK_select_occuprelations_Start","RANK_select_owndomain_Start","RANK_health_Start","RANK_romantic_Start","RANK_social_Start","RANK_family_Start","RANK_friends_Start","RANK_looks_Start","RANK_sports_Start","RANK_leisuretime_Start","RANK_leisureuse_Start","RANK_occup_Start","RANK_occuptask_Start","RANK_occupperform_Start","RANK_occuprelations_Start","RANK_owndomain_Start","MLQ_P_1_Start","MLQ_S_1_Start","MLQ_P_2_Start","MLQ_S_2_Start","MLQ_P_3_R_Start","MLQ_S_3_Start","BFI_EXT_1","BFI_AGR_1","BFI_CON_1_R","BFI_NEU_1_R","BFI_OPE_1_R","BFI_AGR_2","BFI_AGR_3_R","BFI_EXT_2_R","BFI_OPE_2","BFI_EXT_3","BFI_CON_2_R","BFI_NEU_2_R","BFI_EXT_4_R","BFI_NEU_3_R","BFI_OPE_3_R","BFI_CON_3","BFI_NEU_4","BFI_AGR_4_R","BFI_OPE_4","BFI_EXT_5","BFI_CON_4","BFI_AGR_5_R","BFI_EXT_6_R","BFI_CON_5","BFI_NEU_5","BFI_OPE_5_R","BFI_AGR_6","BFI_CON_6_R","BFI_NEU_6","BFI_OPE_6","PA_T_1_Start","NA_T_1_Start","NA_T_2_Start","PA_T_2_Start","NA_T_3_Start","PA_T_3_Start","NA_T_4_Start","NA_T_5_Start","SI_1","SI_2","SI_3","SI_4","SI_5"
"fhP8Yhby2UVuYQN1aBkMb5x5BEPYZhZ7oaoweaDiCffpXwkhopdHjUql5BBnu9td","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rzq_8dxBQC2SKdOWUpdbtu92Fx5ymCLwlsBALe2ADyQrgPBQRcr1dM10MyiFtjrt","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TXGQbim2zchfNCxFGWCyW1UyGU6V1oEmjmWIebKNPyqvIwXTRGj6juAsGbXkVh5F","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N8J8_OKwUjfYenXM1kzIN3iKBe2g36BsxqWVvPD5XjCx77M2ui98eO8ZCVzQVdgk","2018-03-29","2018-03-29","2018-03-29",NA,25,1,NA,0,NA,NA,1,"college",NA,0,3,2,5,7,6,0,NA,3,NA,5,5,5,3,NA,4,3,5,5,5,4,NA,4,2,NA,NA,4,3,4,3,5,5,4,4,NA,NA,5,5,3,3,5,5,5,5,5,5,3,3,NA,NA,0,NA,0,1,1,0,NA,1,0,1,0,1,0,NA,NA,NA,NA,3,2,NA,NA,5,NA,4,NA,1,NA,NA,1,3,5,5,1,5,3,4,1,1,5,4,4,3,3,4,1,3,4,1,4,5,5,5,5,4,5,5,3,5,5,5,1,1,4,1,4,3,3,4,3,4,3,3,6,5,5,5,6
"hafJYDOCEotaKjuPxxv4sNMKPgx8MaKqlmeZaa7e7tuQgWD2ggO76Nhj5bs8KqBB","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1i8SBrX6yy6evYSBW1EzWdUzw5aYHEwFhbSJThPG4PaxeP9FGbB6Fn5c7z8qWCbf","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7NODot9CoqY8kYYbl_HQy7wOyCx8s3IedmU_wWHgVKbyUIy0Eb-wzy10TcYYzHs","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"axPc6d3L-IKHkNZUGF3Im5RmM2M3rylU02UvK7wqXQUgWJo73S4MyjBlHsgFVCQI","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6Jf81vAg3nQuzTnTLrboyzyr2fdTIRZPA6pNrDwkMrF7YL-frYGTyZJe5eZjRVWA","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GokQITipN99vNasULxVKzBswNwQv4VQ85dp2v-fV4tjyIe9WGWNqFjG95afTEooj","2018-03-29","2018-03-29","2018-03-29",NA,23,1,NA,0,NA,NA,1,"college",NA,1,4,4,5,5,3,0,NA,4,NA,3,4,4,5,3,4,3,4,4,4,3,NA,4,4,NA,NA,3,4,5,5,5,5,5,5,3,4,4,4,3,4,4,4,4,4,5,4,3,4,NA,NA,1,NA,0,1,1,1,0,0,0,1,0,0,0,NA,5,NA,NA,1,2,4,NA,NA,NA,3,NA,NA,NA,NA,3,5,4,6,2,6,4,5,4,3,3,4,3,2,3,3,3,4,3,2,3,2,4,3,4,4,5,3,4,4,3,2,4,1,4,4,2,2,4,4,2,3,3,2,5,4,5,6,4
